Date,,Name,Type
Jan 1,Saturday,New Year's Day,Restricted Holiday
Jan 8,Saturday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
Jan 15,Saturday,Pongal,Restricted Holiday
Jan 15,Saturday,Makar Sankranti,Restricted Holiday
Jan 26,Wednesday,Republic Day,Gazetted Holiday
Feb 5,Saturday,Chinese New Year,Observance
Feb 10,Thursday,Vasant Panchami,Restricted Holiday
Feb 14,Monday,Valentine's Day,Observance
Mar 4,Saturday,Maha Shivaratri/Shivaratri,Gazetted Holiday
Mar 16,Thursday,Bakr Id/Eid ul-Adha,Gazetted Holiday
Mar 20,Monday,Holi,Restricted Holiday
Mar 20,Monday,March Equinox,Season
Apr 5,Wednesday,Ugadi,Restricted Holiday
Apr 5,Wednesday,Gudi Padwa,Restricted Holiday
Apr 12,Wednesday,Rama Navami,Gazetted Holiday
Apr 20,Thursday,First day of Passover,Observance
Apr 20,Thursday,Maundy Thursday,"Observance, Christian"
Apr 21,Friday,Good Friday,Gazetted Holiday
Apr 23,Sunday,Easter Day,Restricted Holiday
May 1,Monday,May Day,Observance
May 8,Monday,Birthday of Ravindranath,Restricted Holiday
May 14,Sunday,Mother's Day,Observance
Jun 18,Sunday,Father's Day,Observance
Jun 21,Wednesday,June Solstice,Season
Jul 3,Monday,Rath Yatra,Restricted Holiday
Aug 6,Sunday,Friendship Day,Observance
Aug 15,Tuesday,Independence Day,Gazetted Holiday
Aug 15,Tuesday,Raksha Bandhan (Rakhi),Restricted Holiday
Aug 23,Wednesday,Janmashtami,Gazetted Holiday
Aug 23,Wednesday,Janmashtami (Smarta),Observance
Sep 1,Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
Sep 10,Sunday,Onam,Restricted Holiday
Sep 22,Friday,September Equinox,Season
Sep 28,Thursday,First Day of Sharad Navratri,"Observance, Hinduism"
Oct 2,Monday,Mahatma Gandhi Jayanti,Gazetted Holiday
Oct 3,Tuesday,First Day of Durga Puja Festivities,"Observance, Hinduism"
Oct 7,Saturday,Dussehra,Gazetted Holiday
Oct 16,Monday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
Oct 26,Thursday,Diwali/Deepavali,Gazetted Holiday
Oct 28,Saturday,Bhai Duj,Restricted Holiday
Oct 31,Tuesday,Halloween,Observance
Nov 2,Thursday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
Dec 21,Thursday,December Solstice,Season
Dec 22,Friday,First Day of Hanukkah,Observance
Dec 24,Sunday,Christmas Eve,Restricted Holiday
Dec 25,Monday,Christmas,Gazetted Holiday
Dec 28,Thursday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
Dec 29,Friday,Last day of Hanukkah,Observance
Dec 31,Sunday,New Year's Eve,Observance
