Date,Name
01-01-2000,New Year's Day
08-01-2000,Ramzan Id/Eid-ul-Fitar
15-01-2000,Pongal
15-01-2000,Makar Sankranti
26-01-2000,Republic Day
05-02-2000,Chinese New Year
10-02-2000,Vasant Panchami
14-02-2000,Valentine's Day
04-03-2000,Maha Shivaratri/Shivaratri
16-03-2000,Bakr Id/Eid ul-Adha
20-03-2000,Holi
20-03-2000,March Equinox
05-04-2000,Ugadi
05-04-2000,Gudi Padwa
12-04-2000,Rama Navami
20-04-2000,First day of Passover
20-04-2000,Maundy Thursday
21-04-2000,Good Friday
23-04-2000,Easter Day
01-05-2000,May Day
08-05-2000,Birthday of Ravindranath
14-05-2000,Mother's Day
18-06-2000,Father's Day
21-06-2000,June Solstice
03-07-2000,Rath Yatra
06-08-2000,Friendship Day
15-08-2000,Independence Day
15-08-2000,Raksha Bandhan (Rakhi)
23-08-2000,Janmashtami
23-08-2000,Janmashtami (Smarta)
01-09-2000,Ganesh Chaturthi/Vinayaka Chaturthi
10-09-2000,Onam
22-09-2000,September Equinox
28-09-2000,First Day of Sharad Navratri
02-10-2000,Mahatma Gandhi Jayanti
03-10-2000,First Day of Durga Puja Festivities
07-10-2000,Dussehra
16-10-2000,Karaka Chaturthi (Karva Chauth)
26-10-2000,Diwali/Deepavali
28-10-2000,Bhai Duj
31-10-2000,Halloween
02-11-2000,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
21-12-2000,December Solstice
22-12-2000,First Day of Hanukkah
24-12-2000,Christmas Eve
25-12-2000,Christmas
28-12-2000,Ramzan Id/Eid-ul-Fitar
29-12-2000,Last day of Hanukkah
31-12-2000,New Year's Eve
01-01-2001,New Year's Day
14-01-2001,Pongal
14-01-2001,Makar Sankranti
24-01-2001,Chinese New Year
26-01-2001,Republic Day
29-01-2001,Vasant Panchami
14-02-2001,Valentine's Day
21-02-2001,Maha Shivaratri/Shivaratri
06-03-2001,Bakr Id/Eid ul-Adha
10-03-2001,Holi
20-03-2001,March Equinox
26-03-2001,Ugadi
26-03-2001,Gudi Padwa
02-04-2001,Rama Navami
08-04-2001,First day of Passover
12-04-2001,Maundy Thursday
13-04-2001,Good Friday
15-04-2001,Easter Day
01-05-2001,May Day
08-05-2001,Birthday of Ravindranath
13-05-2001,Mother's Day
17-06-2001,Father's Day
21-06-2001,June Solstice
23-06-2001,Rath Yatra
04-08-2001,Raksha Bandhan (Rakhi)
05-08-2001,Friendship Day
12-08-2001,Janmashtami
12-08-2001,Janmashtami (Smarta)
15-08-2001,Independence Day
22-08-2001,Ganesh Chaturthi/Vinayaka Chaturthi
31-08-2001,Onam
23-09-2001,September Equinox
02-10-2001,Mahatma Gandhi Jayanti
17-10-2001,First Day of Sharad Navratri
22-10-2001,First Day of Durga Puja Festivities
26-10-2001,Dussehra
31-10-2001,Halloween
04-11-2001,Karaka Chaturthi (Karva Chauth)
14-11-2001,Diwali/Deepavali
16-11-2001,Bhai Duj
21-11-2001,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
10-12-2001,First Day of Hanukkah
17-12-2001,Last day of Hanukkah
17-12-2001,Ramzan Id/Eid-ul-Fitar
22-12-2001,December Solstice
24-12-2001,Christmas Eve
25-12-2001,Christmas
31-12-2001,New Year's Eve
01-01-2002,New Year's Day
14-01-2002,Pongal
14-01-2002,Makar Sankranti
26-01-2002,Republic Day
12-02-2002,Chinese New Year
14-02-2002,Valentine's Day
17-02-2002,Vasant Panchami
23-02-2002,Bakr Id/Eid ul-Adha
12-03-2002,Maha Shivaratri/Shivaratri
21-03-2002,March Equinox
28-03-2002,First day of Passover
28-03-2002,Maundy Thursday
29-03-2002,Good Friday
29-03-2002,Holi
31-03-2002,Easter Day
13-04-2002,Ugadi
13-04-2002,Gudi Padwa
21-04-2002,Rama Navami
01-05-2002,May Day
08-05-2002,Birthday of Ravindranath
12-05-2002,Mother's Day
16-06-2002,Father's Day
21-06-2002,June Solstice
12-07-2002,Rath Yatra
04-08-2002,Friendship Day
15-08-2002,Independence Day
21-08-2002,Onam
22-08-2002,Raksha Bandhan (Rakhi)
31-08-2002,Janmashtami
31-08-2002,Janmashtami (Smarta)
10-09-2002,Ganesh Chaturthi/Vinayaka Chaturthi
23-09-2002,September Equinox
02-10-2002,Mahatma Gandhi Jayanti
07-10-2002,First Day of Sharad Navratri
11-10-2002,First Day of Durga Puja Festivities
15-10-2002,Dussehra
24-10-2002,Karaka Chaturthi (Karva Chauth)
31-10-2002,Halloween
04-11-2002,Diwali/Deepavali
06-11-2002,Bhai Duj
10-11-2002,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
30-11-2002,First Day of Hanukkah
06-12-2002,Ramzan Id/Eid-ul-Fitar
07-12-2002,Last day of Hanukkah
22-12-2002,December Solstice
24-12-2002,Christmas Eve
25-12-2002,Christmas
31-12-2002,New Year's Eve
01-01-2003,New Year's Day
14-01-2003,Pongal
14-01-2003,Makar Sankranti
26-01-2003,Republic Day
01-02-2003,Chinese New Year
06-02-2003,Vasant Panchami
12-02-2003,Bakr Id/Eid ul-Adha
14-02-2003,Valentine's Day
01-03-2003,Maha Shivaratri/Shivaratri
18-03-2003,Holi
21-03-2003,March Equinox
02-04-2003,Ugadi
02-04-2003,Gudi Padwa
11-04-2003,Rama Navami
17-04-2003,First day of Passover
17-04-2003,Maundy Thursday
18-04-2003,Good Friday
20-04-2003,Easter Day
01-05-2003,May Day
08-05-2003,Birthday of Ravindranath
11-05-2003,Mother's Day
15-06-2003,Father's Day
22-06-2003,June Solstice
01-07-2003,Rath Yatra
03-08-2003,Friendship Day
12-08-2003,Raksha Bandhan (Rakhi)
15-08-2003,Independence Day
19-08-2003,Janmashtami (Smarta)
20-08-2003,Janmashtami
31-08-2003,Ganesh Chaturthi/Vinayaka Chaturthi
08-09-2003,Onam
23-09-2003,September Equinox
26-09-2003,First Day of Sharad Navratri
01-10-2003,First Day of Durga Puja Festivities
02-10-2003,Mahatma Gandhi Jayanti
05-10-2003,Dussehra
13-10-2003,Karaka Chaturthi (Karva Chauth)
25-10-2003,Diwali/Deepavali
26-10-2003,Bhai Duj
30-10-2003,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
31-10-2003,Halloween
26-11-2003,Ramzan Id/Eid-ul-Fitar
20-12-2003,First Day of Hanukkah
22-12-2003,December Solstice
24-12-2003,Christmas Eve
25-12-2003,Christmas
27-12-2003,Last day of Hanukkah
31-12-2003,New Year's Eve
01-01-2004,New Year's Day
15-01-2004,Pongal
15-01-2004,Makar Sankranti
22-01-2004,Chinese New Year
26-01-2004,Republic Day
26-01-2004,Vasant Panchami
02-02-2004,Bakr Id/Eid ul-Adha
14-02-2004,Valentine's Day
18-02-2004,Maha Shivaratri/Shivaratri
07-03-2004,Holi
20-03-2004,March Equinox
21-03-2004,Ugadi
